
fqdn_1763,0,0,0,0,2,5,1
fqdn_16494,0,0,0,0,2,4,1
fqdn_2892,0,3,1,8,3,20,0
fqdn_12959,11,20,20,20,20,20,1
fqdn_6160,0,0,4,8,1,2,0
fqdn_2150,3,6,6,9,5,8,0
fqdn_8395,0,0,0,2,0,0,0
fqdn_7631,0,0,0,20,0,0,0
fqdn_7153,7,20,0,0,0,0,0
fqdn_17146,1,3,0,1,1,4,0
fqdn_1243,9,13,20,20,20,20,0
fqdn_3390,20,20,20,20,20,20,1
fqdn_9755,0,0,1,2,1,1,1
fqdn_45,0,0,0,1,0,0,0
fqdn_15923,0,1,3,6,1,2,0
fqdn_9132,8,13,9,14,12,18,1
fqdn_2484,0,3,0,1,0,1,1
fqdn_8037,5,8,14,20,13,20,1
fqdn_7109,3,6,11,20,13,20,0
fqdn_15005,0,1,0,4,0,1,0
fqdn_2291,0,1,2,6,1,1,0
fqdn_6909,0,2,1,2,1,2,0
fqdn_9552,0,0,1,2,1,1,1
fqdn_12102,0,1,1,4,2,20,0
fqdn_7236,20,20,0,0,0,0,1
fqdn_14494,20,20,0,0,0,0,1
fqdn_6189,1,20,6,20,8,20,1
fqdn_2647,0,0,0,1,0,0,0
fqdn_3606,8,20,3,5,2,20,0
fqdn_15930,1,1,1,2,2,4,1
fqdn_17407,1,1,4,7,7,9,0
fqdn_8786,0,0,0,12,0,0,0
fqdn_3378,0,1,2,2,1,2,0
fqdn_493,0,0,0,1,0,1,0
fqdn_6742,9,14,14,20,17,20,1
fqdn_3628,0,2,0,1,1,1,0
fqdn_191,0,0,1,20,1,2,0
fqdn_11352,1,2,3,5,1,2,0
fqdn_16289,0,0,1,2,2,2,0
fqdn_4007,0,0,1,20,0,0,0
fqdn_6380,0,0,0,1,1,3,0
fqdn_15460,0,1,0,0,0,0,0
fqdn_6093,0,0,0,4,0,0,0
fqdn_17326,0,0,0,1,1,1,0
fqdn_16348,20,20,3,7,2,3,0
fqdn_12456,9,20,10,20,5,7,0
fqdn_7967,1,2,5,10,2,3,0
fqdn_4264,3,5,7,11,10,15,1
fqdn_15256,0,0,3,4,2,3,0
fqdn_5208,14,18,19,20,20,20,1
fqdn_4295,0,0,0,20,0,0,0
fqdn_14987,20,20,20,20,20,20,1
fqdn_2921,0,0,0,1,1,2,0
fqdn_14194,6,11,11,20,12,20,1
fqdn_2749,0,0,0,0,1,3,0
fqdn_6840,12,20,20,20,20,20,0
fqdn_5924,7,14,2,4,2,3,0
fqdn_16897,0,0,1,2,1,2,0
fqdn_16872,1,1,5,10,6,9,0
fqdn_6642,0,0,0,20,1,4,0
fqdn_1565,20,20,20,20,20,20,1
fqdn_16840,1,1,1,2,1,1,0
fqdn_1830,7,12,5,8,4,5,1
fqdn_6357,1,1,1,2,1,1,0
fqdn_6037,0,1,2,3,0,0,0
fqdn_12757,0,0,2,6,0,0,1
fqdn_7707,0,0,3,10,3,5,0
fqdn_11835,13,20,20,20,20,20,0
fqdn_5519,2,2,3,5,2,3,0
fqdn_5729,0,0,1,3,1,2,0
fqdn_10324,0,0,1,5,12,20,0
fqdn_15717,20,20,13,20,18,20,1
fqdn_15346,2,2,3,3,4,5,0
fqdn_772,0,0,0,20,0,0,0
fqdn_15795,0,0,0,1,1,2,1
fqdn_5925,0,0,0,2,0,0,0
fqdn_4452,0,1,1,2,3,4,0
fqdn_9174,2,2,4,6,2,4,0
fqdn_4020,3,9,2,3,2,3,0
fqdn_10408,0,0,0,1,1,1,0
fqdn_3125,0,0,1,1,0,2,0
fqdn_12893,0,0,0,20,0,0,0
fqdn_11856,5,14,5,20,6,8,1
fqdn_9507,0,0,1,2,0,0,0
fqdn_11375,20,20,20,20,20,20,1
fqdn_9058,3,6,3,6,4,8,0
fqdn_4806,0,0,3,3,1,2,0
fqdn_13007,0,0,0,0,1,1,0
fqdn_13488,0,0,0,2,0,0,0
fqdn_3010,0,0,0,1,0,0,0
fqdn_9149,0,1,0,1,0,1,0
fqdn_207,0,0,0,1,0,0,0
fqdn_8712,0,0,0,2,1,2,0
fqdn_9340,0,0,4,5,8,11,0
fqdn_7313,5,9,8,20,10,20,0
fqdn_17216,0,1,1,4,0,0,0
fqdn_3459,9,20,7,20,0,0,0
fqdn_10155,1,3,0,0,0,1,0
fqdn_2814,7,10,20,20,20,20,1
fqdn_282,0,0,1,6,2,2,0
fqdn_15204,16,20,9,17,9,20,1
fqdn_14242,4,20,1,2,1,3,1
fqdn_8594,2,5,1,2,1,2,0
fqdn_14801,15,20,8,13,9,14,1
fqdn_14174,0,0,0,0,0,1,0
fqdn_14739,20,20,20,20,12,20,0
fqdn_1057,4,10,20,20,20,20,1
fqdn_11371,1,1,2,4,1,1,0
fqdn_16455,4,6,8,13,8,13,1
fqdn_10525,1,2,0,1,0,0,0
fqdn_1663,10,11,12,19,11,15,0
fqdn_6496,0,0,0,1,0,0,0
fqdn_8854,3,10,3,6,2,3,1
fqdn_15526,0,0,1,1,0,1,0
fqdn_13891,9,13,20,20,20,20,1
fqdn_11278,5,8,20,20,14,20,0
fqdn_15301,0,0,1,3,1,3,0
fqdn_16437,5,6,16,20,9,20,0
fqdn_17143,11,19,20,20,20,20,1
fqdn_140,20,20,20,20,11,20,0
fqdn_2203,2,3,2,3,1,3,0
fqdn_5883,17,20,7,16,8,17,0
fqdn_12561,0,0,1,2,1,1,0
fqdn_14744,20,20,20,20,2,2,0
fqdn_701,15,20,7,14,8,14,0
fqdn_9842,2,3,0,1,0,0,0
fqdn_11487,20,20,20,20,20,20,1
fqdn_2368,0,0,1,4,2,8,0
fqdn_15,17,20,20,20,18,20,1
fqdn_5370,0,0,0,0,2,3,0
fqdn_9046,0,0,1,2,0,1,1
fqdn_5052,0,0,0,0,1,2,0
fqdn_4182,2,2,2,3,1,2,0
fqdn_15898,0,0,1,1,0,0,0
fqdn_8024,0,0,0,2,0,0,1
