59,23,9,9,8,11,5,1,1
17,47,43,1,8,11,2,1,1
7,85,20,14,2,3,4,0,1
83,63,51,32,1,11,6,1,1
113,50,46,34,8,7,5,1,1
17,94,9,8,2,11,2,0,1
59,86,46,1,2,6,0,1,1
7,45,4,13,7,13,0,0,1
113,72,33,10,1,11,0,1,1
83,20,43,9,8,11,0,1,1
17,33,46,13,8,1,0,1,1
24,78,4,21,2,14,0,0,1
59,79,9,14,1,1,0,1,1
36,41,43,16,8,1,0,1,1
4,64,42,9,1,16,0,1,1
83,14,51,32,1,1,0,1,1
78,70,49,11,8,4,0,0,1
23,13,7,8,1,16,0,1,1
7,25,20,2,2,14,0,0,1
95,43,14,21,7,14,0,0,1
51,4,36,1,8,1,0,1,1
71,83,17,11,2,4,0,0,1
15,78,37,2,2,14,0,0,1
32,79,48,13,2,4,0,0,1
107,33,30,14,8,16,0,1,1
46,35,42,9,1,16,0,1,1
64,25,24,13,2,14,0,0,1
37,51,45,21,7,14,0,0,1
7,36,49,5,5,5,0,1,1
68,95,43,15,5,5,0,1,1
15,44,20,22,4,2,0,0,1
78,81,9,12,5,5,0,1,1
24,52,4,28,4,2,0,0,1
59,65,48,31,5,5,0,1,1
4,11,42,24,5,5,0,1,1
26,89,4,22,4,8,0,0,1
13,7,49,15,5,5,0,1,1
70,92,48,5,5,5,0,0,1
105,2,7,27,5,5,0,1,1
12,31,46,31,5,5,0,1,1
15,58,37,28,4,2,0,0,1
17,67,10,12,5,5,0,1,1
87,52,39,5,4,8,0,0,1
110,36,46,31,5,5,0,0,1
37,89,60,28,4,2,0,0,1
92,15,59,15,5,5,0,1,1
15,59,20,22,4,2,0,0,1
60,56,49,31,5,5,0,1,1
94,27,30,15,5,5,0,1,1
95,44,26,22,4,2,0,0,1
58,36,17,5,5,5,0,1,1
103,28,37,28,4,8,0,0,1
41,73,24,22,4,2,0,0,1
3,90,42,27,8,5,0,1,1
15,6,20,22,2,2,0,0,1
101,89,4,28,1,2,0,0,1
104,74,9,24,8,5,0,1,1
70,59,48,5,1,5,0,0,1
51,2,10,12,1,5,0,1,1
15,44,57,22,8,2,0,0,1
1,88,27,31,1,5,0,0,1
25,12,48,5,2,5,0,1,1
18,36,40,22,7,2,0,0,1
54,52,37,28,8,8,0,0,1
45,53,7,27,2,5,0,1,1
