0,0,0,1,10,1,0,1,1,1,1,1,1,1,1,0,3,99,120,1,1
1,0,1,1,65,0,1,1,0,2,0,1,1,1,0,1,0,974,89,1,1
1,0,1,1,57,0,1,1,0,1,1,1,1,1,1,0,0,650,3057,0,1
1,0,1,1,20,1,0,1,0,2,0,0,1,1,0,1,2,772,732,1,1
0,0,1,1,57,0,1,0,1,2,1,1,1,1,1,0,3,807,5748,0,1
0,0,1,1,64,0,2,0,1,2,0,1,0,0,1,0,3,149,793,0,1
1,0,1,0,52,0,2,0,1,1,1,1,0,1,1,0,1,1437,4946,1,1
0,0,1,1,25,1,0,1,0,2,1,1,1,1,1,1,0,16,6473,1,1
0,0,0,1,34,0,2,0,1,2,0,0,0,0,1,0,3,218,5515,0,1
1,0,1,0,47,0,1,1,0,1,1,1,1,1,0,1,2,1502,5823,1,1
1,0,0,0,6,0,1,1,0,2,1,1,1,1,1,0,0,1579,1479,1,1
1,0,1,1,11,0,1,2,2,0,2,2,2,2,2,1,1,279,5391,1,1
1,0,0,1,36,0,2,0,1,2,0,1,0,0,0,1,1,1112,3507,1,1
1,0,1,1,42,0,2,0,1,1,0,1,0,0,1,0,2,913,4144,0,1
1,0,1,1,19,0,1,0,0,2,0,0,0,0,1,0,3,556,5793,1,1
0,0,0,0,18,0,2,0,0,1,0,0,0,0,2,1,1,1156,4368,1,1
0,0,1,1,38,0,1,2,2,0,2,2,2,2,0,1,0,1253,1745,1,1
1,0,1,0,71,0,2,0,0,2,0,1,0,0,2,1,2,1119,4570,1,1
0,0,0,0,25,0,1,1,1,2,0,0,1,1,1,1,1,1278,2149,0,1
0,0,1,1,23,0,1,0,1,1,0,1,1,0,1,0,3,980,3210,1,1
1,1,1,1,10,1,0,1,1,2,0,1,1,0,1,0,3,184,3476,0,1
1,0,0,1,9,0,1,2,2,0,2,2,2,2,0,1,2,905,18,1,1
1,0,1,1,10,0,1,2,2,0,2,2,2,2,1,1,0,1566,6515,0,1
0,0,0,1,36,0,2,1,1,1,1,0,1,1,2,0,1,1346,4343,1,1
1,0,0,0,42,0,1,1,0,1,1,0,1,1,1,1,1,961,3483,1,1
0,0,1,1,7,0,1,1,0,1,1,1,1,1,1,0,2,1415,2481,1,1
1,0,0,0,32,0,2,0,1,1,1,1,0,0,1,0,3,917,4174,0,1
