28,51,3,98,82,110,193,496,84,108,20,4,0,1
8,183,84,193,185,17,85,487,86,52,63,4,0,1
25,145,3,159,32,67,191,565,1,78,1,4,0,1
54,138,3,33,194,98,94,444,52,110,27,4,0,1
49,156,34,304,92,100,65,755,93,28,105,2,0,1
79,114,80,47,217,95,226,672,38,9,76,4,0,1
28,113,1,296,44,98,251,123,70,95,28,4,0,1
68,114,3,125,117,67,115,821,78,108,40,0,0,1
48,86,33,51,160,67,269,272,52,42,102,0,0,1
49,70,56,9,193,102,98,801,58,78,103,4,0,1
15,29,39,100,17,65,249,34,80,59,55,4,1,1
21,113,3,267,171,110,238,65,52,107,100,4,0,1
48,183,87,314,81,100,173,71,105,80,97,1,0,1
58,124,39,220,207,103,121,382,105,49,88,2,1,1
22,111,57,100,181,70,249,187,64,108,89,0,1,1
54,137,69,27,108,109,18,778,62,71,42,0,0,1
77,170,71,230,31,86,199,924,9,51,63,4,1,1
93,177,86,230,32,118,28,445,53,83,97,2,0,1
53,57,69,232,169,41,135,200,62,22,103,2,1,1
21,70,11,12,83,119,86,923,59,10,22,2,0,1
28,0,56,28,44,60,49,840,58,78,32,0,0,1
72,1,0,304,17,91,151,428,57,83,78,4,0,1
45,12,37,230,30,44,98,246,40,91,100,2,1,1
21,183,86,288,108,51,82,666,78,65,96,4,0,1
50,113,71,279,142,54,134,204,70,100,90,2,0,1
58,179,22,100,211,34,209,193,72,31,20,4,1,1
98,31,52,100,94,41,61,695,84,61,97,2,1,1
93,179,8,238,90,29,131,716,98,27,32,2,1,1
49,171,26,304,186,112,127,881,6,83,32,0,0,1
68,170,80,73,156,2,103,720,57,61,39,4,0,1
36,86,88,100,55,33,3,696,60,4,25,3,0,1
42,177,56,238,157,70,262,774,6,19,78,4,1,1
28,15,56,12,85,98,232,95,30,42,91,0,0,1
77,103,71,70,189,86,162,433,95,87,25,3,0,1
68,98,57,238,156,44,29,708,91,104,39,4,0,1
28,150,0,51,170,86,1,209,52,93,79,4,1,1
15,45,71,81,82,97,44,776,48,95,22,4,0,1
79,50,70,238,98,50,226,305,100,50,76,4,1,1
96,177,21,237,23,41,61,435,78,10,54,4,1,1
69,50,26,168,160,52,192,762,98,42,68,4,0,1
54,3,56,175,55,67,54,98,79,60,13,4,0,1
62,171,43,157,82,98,164,575,53,91,10,2,0,1
48,45,13,98,194,104,59,278,101,53,89,2,0,1
32,168,33,232,31,41,79,592,70,31,32,4,1,1
98,137,57,252,131,132,258,401,60,108,78,2,0,1
50,51,80,210,92,98,96,720,59,49,1,4,0,1
78,138,67,290,32,20,138,474,48,107,68,0,0,1
72,98,81,166,193,71,125,761,7,84,3,2,0,1
58,176,78,230,17,57,102,198,64,108,103,4,1,1
93,138,57,222,58,33,193,222,16,22,90,4,0,1
93,138,57,222,58,33,193,222,16,22,90,4,0,1
103,38,11,159,0,12,18,669,103,109,58,2,0,1
58,168,39,228,201,102,200,691,98,94,1,4,1,1
62,16,36,232,110,84,104,297,11,61,103,2,1,1
75,37,55,185,142,41,113,485,22,2,89,2,0,1
78,138,87,232,217,3,90,387,65,4,82,4,0,1
49,177,13,230,193,102,87,522,98,108,39,4,1,1
62,183,3,193,81,103,216,618,95,101,87,2,0,1
24,126,48,228,73,57,97,769,59,98,10,4,1,1
61,37,87,288,202,102,199,149,33,98,100,2,1,1
28,0,87,265,180,133,230,840,48,83,90,4,0,1
42,166,61,243,7,57,213,341,105,42,88,4,0,1
98,146,69,148,14,18,89,162,83,72,96,0,0,1
62,177,26,33,217,84,54,768,79,84,43,4,0,1
15,0,50,7,189,54,222,748,40,7,68,4,0,1
58,168,27,100,84,57,271,548,86,93,88,2,1,1
48,181,1,160,131,117,29,960,59,95,87,2,0,1
22,125,61,238,193,31,192,458,106,42,43,0,0,1
6,103,55,100,24,133,216,492,95,18,50,2,1,1
58,113,33,258,25,53,275,812,16,107,63,4,0,1
