55,1,5,1,50,7,7,10,9,8,8,9127,8669,363,5835,8319,12555,3583,5362,4202,3229,4389,3039,1,1
61,1,3,1,12,1,1,1,8,1,1,1838,7944,283,12720,803,934,5418,4226,3392,2999,1008,2401,1,1
57,1,5,0,51,1,1,1,1,1,1,4872,14726,3700,4245,10619,10223,1650,5750,2449,2195,2118,2069,1,1
33,1,3,0,41,1,1,1,1,8,1,4360,13544,6562,2371,12801,7201,2206,5520,4315,3229,4852,2011,1,1
61,1,2,0,3,1,1,1,1,1,1,14774,11478,6221,12427,7975,3082,457,2833,5378,4479,2564,2488,1,1
27,0,5,0,22,3,3,3,3,3,3,5216,5222,5159,4988,4927,4795,2047,2004,1925,1821,1729,1730,1,1
73,1,3,1,31,2,2,2,2,2,2,1010,6410,9463,12866,12578,13784,2479,1207,3392,3229,2903,3039,1,1
25,1,5,1,41,5,2,2,2,2,3,9398,9293,9086,8900,8764,3190,3583,3519,3392,3229,1187,3039,1,1
28,1,3,1,8,3,3,3,3,3,3,8613,22,897,13285,14362,2968,7,4635,204,1297,3669,5124,1,1
75,1,5,0,28,1,1,1,8,1,1,15490,10070,11985,3389,610,3350,3724,2677,1435,2195,2118,4022,1,1
71,1,3,0,51,9,9,2,3,1,1,5747,9293,9086,9006,2620,8540,3583,3519,3428,3229,3123,3039,0,1
57,0,5,1,30,9,9,9,8,8,8,11369,5837,8400,1057,2874,589,3583,765,3392,4128,4035,4022,0,1
52,1,3,1,31,5,2,2,2,2,3,10392,10245,10019,2313,9668,7174,3583,3519,3392,3229,804,3039,1,1
32,1,5,1,33,3,4,7,9,8,8,14080,11982,433,11887,609,8194,3583,3519,3392,3229,2564,3039,0,1
27,1,5,0,19,1,1,2,2,2,2,2459,9293,9086,8900,8764,8540,3583,3519,3392,3229,3380,3039,1,1
52,1,6,1,32,1,1,1,1,1,1,12916,36,8069,10111,13920,11747,3883,1996,3421,2637,731,781,1,1
6,1,3,1,30,2,2,2,2,2,2,2342,12538,3044,10312,10210,2000,2203,1630,3004,792,1977,250,1,1
33,1,3,1,11,3,3,3,3,3,3,1040,10933,7583,1659,8928,3080,4224,3086,1779,3296,1145,999,1,1
53,1,6,0,24,2,2,2,2,2,2,13871,3179,12447,3669,12036,12140,908,150,2653,3408,3123,660,1,1
8,0,3,0,28,1,1,1,1,1,1,10917,5226,4047,4970,8341,5517,4791,5134,5154,4778,754,4144,1,1
33,1,6,0,28,1,1,1,1,1,1,7928,3073,5619,2598,12970,4990,305,1904,4677,4311,941,4067,1,1
57,0,3,0,52,3,3,3,3,3,3,6024,14031,13116,12885,12599,12361,5482,5155,4931,4563,4490,4499,1,1
61,0,3,0,22,1,1,1,1,1,1,14963,768,6276,11825,4111,7986,1199,1174,4832,938,906,1782,1,1
57,0,5,1,12,1,1,1,1,1,1,10373,7803,12362,2687,7302,9811,1650,2403,3501,5332,4035,2069,1,1
51,1,6,0,24,3,3,9,1,3,3,8895,1466,1495,33,1654,8540,1074,3519,2801,617,3123,3039,1,1
75,1,3,1,18,1,1,1,1,3,1,14286,11721,10106,978,6173,941,1971,4591,4412,2279,3349,3394,1,1
43,1,5,1,27,5,2,2,2,2,2,9398,9293,9086,8900,8764,8540,3583,3519,3392,3229,3123,3039,0,1
68,1,5,0,44,3,3,3,3,3,3,13270,10334,6793,4451,9141,5980,3984,2621,1721,3354,2172,5307,1,1
45,1,4,1,27,1,1,1,1,1,1,2883,13415,15376,565,4336,10744,1650,2087,1768,1662,3789,4872,1,1
1,1,3,1,27,2,2,2,3,1,3,4493,6499,4411,14423,14143,12722,2510,1174,5541,3229,4627,1088,0,1
63,1,3,0,28,1,1,1,1,1,1,9165,9318,12192,10095,12392,10888,3940,3038,2568,2437,2344,540,1,1
