18,32,3,64,0,1
4,12,18,70,0,1
19,2,20,54,0,1
18,7,31,40,0,1
19,15,0,76,1,1
28,22,28,44,1,1
18,10,25,9,0,1
19,16,21,54,1,1
18,17,15,33,0,1
21,6,32,64,0,1
28,5,14,45,1,1
4,0,19,44,1,1
18,1,7,70,0,1
19,12,18,8,1,1
18,27,12,48,0,1
18,9,5,34,0,1
18,23,27,58,0,1
18,19,16,69,0,1
18,27,12,48,0,1
18,0,19,44,0,1
18,0,19,44,0,1
28,31,8,70,1,1
18,27,12,46,0,1
18,27,12,46,0,1
24,17,15,46,1,1
28,23,27,66,1,1
28,27,12,9,1,1
28,16,21,11,0,1
28,9,5,34,0,1
28,20,17,68,1,1
19,23,27,45,1,1
28,1,7,70,0,1
28,1,7,70,0,1
28,17,15,15,0,1
18,2,20,4,1,1
18,20,17,70,0,1
18,16,21,8,0,1
28,27,12,46,0,1
18,23,27,12,0,1
28,10,25,33,0,1
18,12,18,50,0,1
18,9,5,46,1,1
18,9,5,46,0,1
18,9,5,46,1,1
28,7,31,29,0,1
28,17,15,70,0,1
18,17,15,24,1,1
18,24,2,35,1,1
18,24,2,35,1,1
18,24,2,35,1,1
18,31,8,7,1,1
18,31,8,7,0,1
18,27,12,33,1,1
18,16,21,72,1,1
28,9,5,9,0,1
28,18,22,29,0,1
28,20,17,15,0,1
18,10,25,70,0,1
18,2,20,56,1,1
5,27,12,68,1,1
18,10,25,18,1,1
18,20,17,54,0,1
18,1,7,69,1,1
28,9,5,46,0,1
18,0,19,73,0,1
5,2,20,75,1,1
18,22,28,9,0,1
4,24,2,44,1,1
28,10,25,77,1,1
19,17,15,71,1,1
18,22,28,46,1,1
18,22,28,46,1,1
28,8,23,59,0,1
18,24,2,44,1,1
18,24,2,44,0,1
18,24,2,44,0,1
18,22,28,46,0,1
18,24,2,44,1,1
18,24,2,44,1,1
18,24,2,44,1,1
28,27,12,57,0,1
18,22,28,46,1,1
18,22,28,46,1,1
18,22,28,46,1,1
18,27,12,70,0,1
18,27,12,70,1,1
28,24,2,44,1,1
28,24,2,44,1,1
28,24,2,44,1,1
18,10,25,54,0,1
28,24,2,44,0,1
28,24,2,44,1,1
28,24,2,44,1,1
28,24,2,44,1,1
3,31,8,57,1,1
28,10,25,70,1,1
5,8,23,1,1,1
28,17,15,2,0,1
28,22,28,9,0,1
21,10,25,15,0,1
28,20,17,11,0,1
18,12,18,49,0,1
28,17,15,66,1,1
18,9,5,15,1,1
18,9,5,15,1,1
7,8,23,37,1,1
4,20,17,26,1,1
5,9,5,15,1,1
18,0,19,9,1,1
18,1,7,4,1,1
28,9,5,57,0,1
28,17,15,7,1,1
28,9,5,57,1,1
28,20,17,66,0,1
18,16,21,16,1,1
14,15,0,4,1,1
18,10,25,7,0,1
28,31,8,20,1,1
19,10,25,12,1,1
18,31,8,32,0,1
18,0,19,46,0,1
28,9,5,15,0,1
18,27,12,53,0,1
18,9,5,3,0,1
18,22,28,15,1,1
18,9,5,11,1,1
28,20,17,7,0,1
18,22,28,15,1,1
28,20,17,58,0,1
18,24,2,74,0,1
28,9,5,70,1,1
18,16,21,42,1,1
18,24,2,74,1,1
28,27,12,54,1,1
18,31,8,22,1,1
18,0,19,47,1,1
18,9,5,65,1,1
18,16,21,64,1,1
24,9,5,47,1,1
18,24,2,34,1,1
18,17,15,75,1,1
21,23,27,1,1,1
28,0,19,46,1,1
28,0,19,46,1,1
28,24,2,73,0,1
28,0,19,46,0,1
7,0,19,9,1,1
18,24,2,34,1,1
18,24,2,34,0,1
18,24,2,34,1,1
18,10,25,45,0,1
28,27,12,52,1,1
28,31,8,62,1,1
18,28,6,35,0,1
18,28,6,35,1,1
18,28,6,35,1,1
18,28,6,35,1,1
